,typeId,typeName,id,code,name,zoneId,zone,address,largeCar,car,carDis,carWoman,carGreen,moto,motoDis,largeCar_total,car_total,carDis_total,carWoman_total,carGreen_total,moto_total,motoDis_total,chargeTime,chargeFee,update_time,lnglat
66,5,智慧停車,266,D00014,安平路(路邊停車格),5,安平區,中華西路口-承天橋 ,0,126,0,0,0,0,0,0,173,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:16,"22.998103,120.172637"
67,4,路邊委外,271,C00056,海安路-1,1,中西區,永華路口-府前路口兩側,0,27,0,0,0,0,0,0,55,0,0,0,0,0,,,2022-11-26 00:00:16,"22.989640,120.195159"
68,4,路邊委外,272,C00057,海安路-5,1,中西區,民族路口-臨安路口兩側,0,34,0,0,0,0,0,0,72,0,0,0,0,0,,,2022-11-26 00:00:16,"23.000070,120.198538"
69,4,路邊委外,273,C00058,公園南路-2,4,北區,公園路口-臨安路口兩側,0,8,0,0,0,0,0,0,41,0,0,0,0,0,,,2022-11-26 00:00:16,"23.002430,120.203801"
70,4,路邊委外,274,C00059,西門路-3,1,中西區,永華路口-府前路口兩側,0,5,0,0,0,0,0,0,11,0,0,0,0,0,,,2022-11-26 00:00:16,"22.989052,120.197498"
71,4,路邊委外,275,C00060,西門路-4,1,中西區,府前路口-民生路口兩側,0,11,0,0,0,0,0,0,23,0,0,0,0,0,,,2022-11-26 00:00:16,"22.993060,120.198729"
72,4,路邊委外,276,C00061,西門路-5,1,中西區,民生路口-西門圓環,0,4,0,0,0,0,0,0,15,0,0,0,0,0,,,2022-11-26 00:00:16,"22.996525,120.199747"
73,4,路邊委外,277,C00062,西門路-6,1,中西區,西門圓環-成功路口兩側,0,1,0,0,0,0,0,0,4,0,0,0,0,0,,,2022-11-26 00:00:16,"22.998932,120.200861"
74,4,路邊委外,278,C00063,西門路-7,4,北區,成功路口-公園北路口兩側,0,7,0,0,0,0,0,0,28,0,0,0,0,0,,,2022-11-26 00:00:16,"23.001481,120.202609"
75,4,路邊委外,279,C00064,西門路-8,4,北區,公園北路口-和緯路口兩側,0,48,0,0,0,0,0,0,101,0,0,0,0,0,,,2022-11-26 00:00:16,"23.008816,120.207446"
76,4,路邊委外,280,C00065,西門圓環-1,1,中西區,西門圓環東北角-東南角,0,14,0,0,0,0,0,0,36,0,0,0,0,0,,,2022-11-26 00:00:17,"22.997236,120.200488"
77,4,路邊委外,281,C00066,西門圓環-2,1,中西區,西門圓環西北角-西南角,0,16,0,0,0,0,0,0,47,0,0,0,0,0,,,2022-11-26 00:00:17,"22.997297,120.199666"
78,2,公有收費停車場,282,A01351,博客停車場開發股份有限公司台南轉運站,4,北區,台南市北區公園路291號,0,54,0,0,0,2,0,0,261,0,0,0,492,0,,,2022-11-26 16:04:23,"23.001805,120.209197"
79,5,智慧停車,283,D00015,府前路-9(路邊停車格),5,安平區,中華西路口-建平路口兩側 ,0,15,0,0,0,0,0,0,25,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:01,"22.993200,120.184280"
80,5,智慧停車,284,D00016,大學路-2(路邊停車格),2,東區,勝利路口-長榮路口兩側 ,0,6,0,0,0,0,0,0,7,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:04,"22.996090,120.220482"
81,5,智慧停車,285,D00017,東寧路-1(路邊停車格),2,東區,慶東路口-長榮路口兩側,0,22,0,0,0,0,0,0,28,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:05,"22.992170,120.220100"
82,5,智慧停車,286,D00018,東豐路-1(路邊停車格),2,東區,北門路口-勝利路口兩側 ,0,19,0,0,0,0,0,0,32,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:08,"23.003900,120.216190"
83,5,智慧停車,287,D00019,東豐路-2(路邊停車格),2,東區,勝利路口-長榮路口兩側 ,0,18,0,0,0,0,0,0,22,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:08,"23.003276,120.220291"
84,5,智慧停車,288,D00020,東豐路-3(路邊停車格),2,東區,長榮路口-林森路口兩側 ,0,17,0,0,0,0,0,0,22,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:09,"23.002854,120.223324"
85,5,智慧停車,289,D00021,東豐路-4(路邊停車格),2,東區,林森路口-桌球館兩側 ,0,21,0,0,0,0,0,0,24,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:09,"23.002441,120.226031"
86,5,智慧停車,290,D00022,慶平路-3(路邊停車格),5,安平區,華平路口-國平路口兩側 ,0,17,0,0,0,0,0,0,21,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:13,"22.997191,120.172522"
87,5,智慧停車,291,D00023,慶平路-4(路邊停車格),5,安平區,國平路口-育平路口兩側 ,0,38,0,0,0,0,0,0,41,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:13,"22.997508,120.170447"
88,5,智慧停車,292,D00024,慶平路-5(路邊停車格),5,安平區,育平路口-安億橋兩側 ,0,22,0,0,0,0,0,0,24,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:14,"22.997743,120.166683"
89,5,智慧停車,293,D00025,怡平路(路邊停車格),5,安平區,建平路口-華平路口兩側 ,0,26,0,0,0,0,0,0,31,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:14,"22.993134,120.179337"
90,5,智慧停車,294,D00026,郡平路(路邊停車格),5,安平區,華平路口-育平路口兩側 ,0,9,0,0,0,0,0,0,29,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:14,"22.989001,120.168962"
91,5,智慧停車,295,D00027,國平路(路邊停車格),5,安平區,健康路口-慶平路口兩側 ,0,40,0,0,0,0,0,0,40,0,0,0,0,0,08:00~22:00,每小時20元,2022-11-26 16:05:15,"22.992211,120.171202"
